Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Андрощук,Лариса,Євгенівна,Жінка,1949-01-19,Ботанік,селище Ворожба,"проспект Нафтовиків 1-й, буд. 4 кв. 66, Болград, 95787",+380 42 041 08 39,rpelekh@example.com
Стець,Олена,Юріївна,Жінка,1954-11-22,Дантист,селище Ківерці,"проспект Ростовська, буд. 79, Конотоп, 87766",+380 (30) 171-49-94,farkhypenko@example.net
Копитко,Ірена,Андріївна,Жінка,1986-08-02,Педагог,село Хорол ,"проспект Академіка Філатова, буд. 131 кв. 3, Прип'ять , 37617",+380 (60) 156-25-25,semen63@example.net
Коваленко,Дарина,Василівна,Жінка,1974-06-26,Ріелтор,село Красногорівка,"сквер Наклонна, буд. 867, Городенка, 68135",+380 30 144-56-03,oles68@example.net
Корбут,Марʼяна,Олексіївна,Жінка,1947-06-15,Патологоанатом,місто Здолбунів,"парк Волоколамська, буд. 319, Синельникове, 24176",069 903-70-30,ielysavetaokhrimenko@example.net
Засуха,Марʼяна,Михайлівна,Жінка,2002-02-13,Гірник,хутір Берегове,"проспект Бузковий, буд. 057 кв. 5, Березань , 78367",000 525-93-99,liubovvasylevych@example.org
Литвин,Вʼячеслав,Петрович,Чоловік,1959-11-12,Круп'є,хутір Борислав,"провулок Лінія 23-тя, буд. 55, Ірміно, 20010",+380 25 371-84-11,chabanlukian@example.com
Єсипенко,Степан,Григорович,Чоловік,1986-07-17,Бібліотекар,хутір Стрий,"сквер Поїзна, буд. 061, Тисмениця, 30352",+380 14 293-82-25,bohuslavadanylchuk@example.org
Козаченко,Аркадій,Юрійович,Чоловік,1938-11-19,Журналіст,село Синельникове,"проспект 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Світлодарськ, 28982",+380 14 436-21-55,ielysei09@example.net
Заєць,Михайлина,Василівна,Жінка,1941-07-13,Диригент,селище Скалат,"парк Хімічний 1-й, буд. 106, Болехів, 48765",+380 90 514 27 28,dbevz@example.org
Макогон,Орися,Степанівна,Жінка,2006-11-24,Модельєр,село Вовчанськ,"шосе Картамишевський, буд. 660 кв. 993, Ямпіль, 74779",+380 83 905 34 01,xvalenko@example.org
Вергун,Антон,Олександрович,Чоловік,1938-09-25,Машиніст,місто Бар,"сквер Азербайджан, буд. 2 кв. 138, Хирів, 86689",742 11 35,hunkonestor@example.org
Стець,Георгій,Іванович,Чоловік,1991-01-21,Пекар,хутір Красногорівка,"узвіз Верстатобудівна, буд. 403, Болехів, 41255",+380 21 666 20 37,iakiv73@example.org
Чалий,Пилип,Васильович,Чоловік,1983-09-02,Живописець,хутір Нове Давидково,"проспект Український 3-й, буд. 69 кв. 31, Зміїв, 37653",+380 41 806-94-94,suprunenkooryna@example.com
Радченко,Герман,Михайлович,Чоловік,1992-11-20,Реставратор,селище Кремінна,"парк Парусна, буд. 1 кв. 72, Гайсин, 62338",+380 82 209-92-28,qdanchuk@example.org
Дейнека,Теодор,Юрійович,Чоловік,1965-12-09,Прокурор,хутір Гайворон,"провулок 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 85, Конотоп, 19527",132-39-58,anton86@example.org
Масляк,Валерій,Ігорович,Чоловік,1965-03-31,Ветеринар,село Умань,"набережна Проектна 1-ша, буд. 36 кв. 92, Деражня, 74067",444 59 78,cshevchenko@example.org
Годунок,Опанас,Петрович,Чоловік,1989-01-28,Круп'є,місто Славута,"провулок Іспанська, буд. 5 кв. 639, Рахів, 70129",313 63 38,panas80@example.com
Стельмах,Адам,Олександрович,Чоловік,1985-09-16,Актор,селище Вилкове,"проспект Шилова, буд. 60 кв. 421, Борщів, 61282",057 196-00-39,rzhuk@example.org
Карась,Тетяна,Степанівна,Жінка,1946-08-01,Епідеміолог,хутір Славута,"вулиця Біляївська, буд. 8, Стебник, 96292",+380 64 397 45 02,mykolaieibozhenko@example.org
Комар,Оксенія,Леонідівна,Жінка,1947-12-03,Підприємець,село Черкаси,"проспект Лютеранський, буд. 90 кв. 4, Боярка, 58133",463 91 06,borys67@example.com
Петрик,Дан,Володимирович,Чоловік,1984-04-19,Реставратор,хутір Лиман ,"провулок Сміливий, буд. 5, Подільськ, 97305",+380 76 397 06 04,liza26@example.org
Філіпенко,Камілла,Василівна,Жінка,1998-07-04,Перекладач,хутір Христинівка,"проспект Головківська, буд. 10, Любомль, 46075",+380 10 026 19 90,romanetsiaroslav@example.com
Засенко,Хома,Ігорович,Чоловік,1952-06-27,Редактор,хутір Галич,"проспект Селищний, буд. 7 кв. 51, Костянтинівка, 79495",+380 31 159 96 47,wholyk@example.net
Верес,Стефан,Григорович,Чоловік,1974-02-07,Співак,хутір Дубровиця,"провулок Паркова, буд. 49, Самбір, 18727",+380 94 826-16-58,tokarpylyp@example.net
Оніщук,Юхим,Григорович,Чоловік,2002-01-10,Мікробіолог,хутір Жидачів,"площа Наявний 2-й, буд. 689, Турка, 92423",+380 (71) 496-80-47,adrozd@example.org
Хомик,Вікторія,Юріївна,Жінка,1949-02-13,Головний меркшейдер,село Шахтарськ,"набережна Маршала Малиновського, буд. 1 кв. 46, Макіївка, 80667",+380 56 979-45-48,nadiia55@example.org
Дацюк,Юстим,Богданович,Чоловік,1969-09-01,Педагог,хутір Бровари,"вулиця Андреєвського, буд. 7 кв. 52, Судова Вишня, 05929",+380 (93) 135-19-17,ckalenychenko@example.org
Баштан,Оксенія,Ігорівна,Жінка,1958-10-16,Ді-джей,хутір Старобільськ,"площа Перший Кришталевий, буд. 432 кв. 141, Бунге , 78476",067 853-92-14,taranpanteleimon@example.net
Ісаєнко,Олег,Володимирович,Чоловік,1997-06-11,Пілот,місто Ірміно,"вулиця Володимира Хавкіна, буд. 0 кв. 4, Торецьк, 46924",019 52 39,parmen37@example.net
Ярош,Мирон,Богданович,Чоловік,2002-01-22,Геофізик,хутір Білозерське,"вулиця П'ята, буд. 125, Джанкой, 62765",099 930 28 46,ihnat82@example.org
Дашкевич,Богуслава,Юріївна,Жінка,1962-11-02,Співак,хутір Перещепине,"вулиця Капітана Гаврікова, буд. 0, Городня, 27430",+380 48 578-48-91,rgerus@example.com
Атаманюк,Володимира,Григорівна,Жінка,1977-10-13,Водій,місто Березівка,"набережна Тетяни Тесс, буд. 04, Калинівка , 17666",041 024 44 63,semenchenkomykyta@example.net
Вівчаренко,Франц,Андрійович,Чоловік,1943-02-17,Мовознавець,місто Павлоград,"набережна Лиманчик 2-й Лінія 2-га, буд. 122 кв. 71, Куп'янськ, 75329",+380 (83) 177-41-83,zinchukmariia@example.org
Тесля,Марта,Леонідівна,Жінка,1989-08-18,Правник,селище Дергачі,"парк Любашівський, буд. 92, Новий Розділ, 14555",032 228-72-72,ieromenkoalina@example.com
Якимчук,Галина,Петрівна,Жінка,1982-07-31,Графік,село Узин,"парк Грецький, буд. 4, Гуляйполе, 22885",536 81 47,atelychenko@example.net
Худобʼяк,Єлисей,Богданович,Чоловік,2000-12-05,Мовознавець,місто Барвінкове,"парк Гагарінське плато, буд. 018 кв. 044, Герца, 16339",+380 25 160-23-32,okseniiafranchuk@example.com
Фаренюк,Борис,Дмитрович,Чоловік,1953-11-21,Стоматолог,село Гайсин,"вулиця Олександра Вронського, буд. 47, Жданівка, 66369",012 149 44 21,azardubenko@example.com
Гунько,Леопольд,Андрійович,Чоловік,1975-07-08,Гицель,селище Турка,"вулиця Заводська 5-та, буд. 16, Новомосковськ, 67806",019 229 60 46,solomontverdokhlib@example.net
Рябченко,Богодар,Андрійович,Чоловік,1962-11-30,Няня,селище Кременчук,"набережна Академіка Воробйова, буд. 929, Долина , 01613",+380 (08) 858-76-02,verkholaostap@example.com
Масляк,Степан,Євгенович,Чоловік,1969-12-27,Історик,місто Карлівка,"узвіз Лінія 35-та, буд. 65 кв. 302, Борзна, 26732",+380 (11) 831-06-94,abramchukhordii@example.net
Дурдинець,Аніта,Григорівна,Жінка,1989-01-27,Бібліограф,селище Білгород-Дністровський,"площа Ярморочна площа, буд. 898 кв. 661, Дружба , 06865",305-89-17,turkalohryhorii@example.org
Ґоляш,Марина,Василівна,Жінка,1946-02-12,Педагог,село Привілля,"вулиця Польовий 1-й, буд. 733 кв. 6, Зеленодольськ, 57818",739-78-20,shcherbanmykyta@example.org
Ґерус,Устим,Михайлович,Чоловік,1953-08-05,Музикант,село Мирноград,"шосе Ползунова 2-й, буд. 695 кв. 1, Березне, 27348",+380 13 395 50 49,vlokhmyroslav@example.net
Дергач,Вʼячеслав,Леонідович,Чоловік,1939-04-23,Перекладач,хутір Южноукраїнськ,"набережна Левітана, буд. 7 кв. 659, Бобринець, 88761",+380 03 376-58-35,oadamenko@example.com
Христенко,Вадим,Олексійович,Чоловік,2004-02-11,Нотаріус,хутір Рубіжне,"вулиця Гвоздична, буд. 69 кв. 8, Горлівка, 03712",039 926 41 89,romanmoskal@example.org
Щербак,Валерій,Михайлович,Чоловік,1959-04-05,Живописець,хутір Кремінна,"сквер 12-та Суворовська, буд. 3 кв. 501, Чоп, 40980",077 306 98 61,xrudko@example.net
Алексеєнко,Василина,Григорівна,Жінка,2008-08-10,Перекладач,хутір Переяслав,"сквер Ремонтна, буд. 165 кв. 96, Бар, 30170",216 04 97,zvernyhora@example.org
Короленко,Гліб,Васильович,Чоловік,1997-08-01,Доцент,селище Сватове,"узвіз Китобійний 1-й, буд. 18, Жмеринка, 55444",365 85 78,qsvystun@example.com
Фастенко,Адам,Олегович,Чоловік,1940-01-28,Машиніст,хутір Щолкіне,"набережна Різовська, буд. 0, Дебальцеве, 99873",+380 75 482 05 96,oleksa01@example.net
Демиденко,Тарас,Іванович,Чоловік,1949-03-22,Модель,місто Гайворон,"парк Ризька, буд. 03 кв. 3, Дубляни, 95568",+380 56 966-01-15,niarema@example.org
Чередник,Трохим,Олександрович,Чоловік,1990-07-11,Юрист,місто Мена ,"проспект Глухий міст, буд. 611 кв. 0, Костопіль, 55855",+380 18 478-53-66,ievhenmykhailiuk@example.org
Засуха,Златослава,Володимирівна,Жінка,1939-09-12,Фрілансер,село Гола Пристань,"узвіз Сортувальна 2-га, буд. 83, Чугуїв, 06283",+380 12 846-10-63,pteslia@example.org
Гузенко,Максим,Богданович,Чоловік,1943-12-15,Головний меркшейдер,селище Сокаль,"провулок Героїв Небесної Сотні, буд. 2, Підгородне, 51417",+380 98 181 86 66,dmytro85@example.net
Бабʼюк,Євген,Іванович,Чоловік,1963-05-23,Правник,село Глиняни,"парк Траса Здоров'я, буд. 2 кв. 7, Дубровиця, 35574",038 657-60-67,bfastenko@example.org
Носенко,Орест,Богданович,Чоловік,2007-11-24,Секретар,хутір Мена ,"сквер Восьмого березня 4-й, буд. 167, Олевськ, 87408",010 366-30-95,spas75@example.com
Артим,Дмитро,Васильович,Чоловік,1990-08-01,Піаніст,село Жмеринка,"парк Академіка Вільямса, буд. 08 кв. 2, Мар'їнка, 15071",+380 63 906-73-81,valerii30@example.net
Дубина,Ада,Леонідівна,Жінка,1957-12-16,Архітектор,хутір Надвірна,"сквер Собінова, буд. 783, Бершадь, 78738",094 073-76-56,amaliiaiakymchuk@example.org
Дурдинець,Тимофій,Сергійович,Чоловік,2007-11-01,Фрілансер,хутір Новодружеськ,"сквер Садова, буд. 673, Помічна, 65681",016 515 63 86,jdemianenko@example.org
Бабариченко,Богуслава,Юріївна,Жінка,1969-04-12,Палеонтолог,село Одеса,"проспект Миколи Вороного, буд. 1, Кропивницький, 73137",+380 01 035-12-89,ivanychukarsen@example.org
Лемешко,Валерій,Богданович,Чоловік,2005-05-26,Клоун,селище Мена ,"провулок Шкільний, буд. 5 кв. 471, Ізмаїл, 09448",+380 61 832 09 08,andriishynastepan@example.net
Смик,Олег,Сергійович,Чоловік,2003-08-17,Різноробочий,хутір Чорноморськ,"узвіз Йосипа Тимченка, буд. 935 кв. 3, Суходільськ, 70589",+380 (16) 877-62-28,tiahnybokparmen@example.net
Хмара,Мілена,Володимирівна,Жінка,1969-10-02,Фармацевт,місто Дунаївці,"площа Чорноморська, буд. 68, Зміїв, 10485",+380 66 730-94-77,fedir13@example.net
Адаменко,Софія,Сергіївна,Жінка,1938-11-26,Клоун,хутір Чернівці,"вулиця Лінія 52-га, буд. 73, Заставна, 33877",070 747 10 07,vasylechkoihnat@example.com
Сомко,Ілля,Іванович,Чоловік,1969-05-13,Публіцист,село Краматорськ,"парк Виноградна, буд. 53 кв. 20, Буча, 50509",018 147-93-75,havryloiurchenko@example.com
Гузенко,Олесь,Васильович,Чоловік,1953-12-25,Доцент,селище Ірпінь,"набережна Князівський, буд. 110, Харцизьк, 09456",492 42 06,sbabii@example.org
Запорожець,Одарка,Богданівна,Жінка,1967-03-21,Етнограф,село Верхівцеве,"узвіз Партизанської Слави, буд. 576 кв. 388, Могилів-Подільський, 18004",+380 31 978 19 81,rostyslavtarasenko@example.org
Приходько,Феофан,Євгенович,Чоловік,1986-11-09,Електромонтажник,хутір Бершадь,"узвіз Прорізний, буд. 281, Рудки, 18546",068 078 15 32,heorhiishevchenko@example.net
Гресь,Амвросій,Олексійович,Чоловік,1997-12-06,Археолог,селище Хмільник,"парк Кустанайська, буд. 8, Могилів-Подільський, 57807",045-83-61,veniiamynishchenko@example.net
Скирда,Степан,Юрійович,Чоловік,1981-06-30,Хімік,селище Свалява,"проспект Садовського, буд. 0, Миколаїв, 41798",+380 77 187-34-59,redkozorian@example.net
Андрусенко,Марія,Михайлівна,Жінка,1945-12-23,Сценарист,хутір Обухів,"шосе Морська, буд. 5 кв. 635, Новоукраїнка, 98920",574 35 01,suprunenkotymofii@example.net
Дубас,Ігор,Олегович,Чоловік,1941-06-05,Правник,місто Волноваха,"набережна Учительський, буд. 8 кв. 58, Молочанськ, 02535",290-92-71,bdotsenko@example.org
Ільєнко,Герман,Григорович,Чоловік,1965-04-30,Футболіст,селище Сновськ,"узвіз Шовкуненка, буд. 9, Костянтинівка, 47646",+380 77 916-88-35,mykhailoderehus@example.net
Онуфрієнко,Вікторія,Андріївна,Жінка,1997-06-06,Інженер,селище Мала Виска,"узвіз Балтський 2-й, буд. 3 кв. 2, Добромиль, 94338",082 348-34-01,hudovychenko@example.org
Скирда,Азар,Сергійович,Чоловік,1976-03-30,Етнограф,місто Семенівка,"набережна Довга, буд. 8 кв. 20, Лебедин, 05487",+380 51 424-52-56,vasylynaskyrda@example.net
Юхименко,Йосип,Олексійович,Чоловік,1947-12-10,Лікар,хутір Волноваха,"узвіз Академічна, буд. 308 кв. 821, Бахчисарай, 88256",+380 78 571-13-88,trokhymmakarenko@example.com
Аверченко,Геннадій,Степанович,Чоловік,1940-02-25,Лікар,місто Гадяч,"проспект Наявний 6-й, буд. 190 кв. 897, Підгайці, 91218",+380 65 762-24-72,nataliiashylo@example.com
Бандура,Аліна,Андріївна,Жінка,1952-02-22,Драматург,місто Рава-Руська,"провулок Чернишевського, буд. 802 кв. 61, Рені, 56303",057 20 01,levkoskopenko@example.org
Дараган,Соломія,Михайлівна,Жінка,1981-12-29,Програміст,місто Олевськ,"проспект Новоберегова, буд. 203, Генічеськ, 88835",+380 09 121-41-16,aruban@example.org
Давимука,Богдан,Олегович,Чоловік,2004-12-09,Перекладач,місто Подільськ,"узвіз Студена, буд. 86, Вугледар, 33218",+380 (20) 755-66-18,mriabovil@example.net
Гречаник,Віолетта,Володимирівна,Жінка,1998-11-29,Золотар,село Джанкой,"парк Романа Кармена, буд. 415 кв. 429, Новодружеськ, 78134",+380 95 834 57 73,kyrylenkoostap@example.com
Вертипорох,Камілла,Олегівна,Жінка,1961-07-08,Епідеміолог,село Докучаєвськ,"проспект Бехтерєва, буд. 2, Старобільськ, 55477",840 87 28,khudobiakrostyslav@example.com
Царенко,Феофан,Дмитрович,Чоловік,1962-01-23,Менеджер,село Василівка ,"вулиця Літній, буд. 1 кв. 181, Світловодськ, 55105",+380 38 382 76 85,nestaikokostiantyn@example.org
Романенко,Адам,Андрійович,Чоловік,1969-01-30,Графік,село Генічеськ,"набережна Нескучна, буд. 59 кв. 909, Липовець, 63048",+380 53 850 63 63,omelianadamchuk@example.org
Лесик,Одарка,Петрівна,Жінка,1939-09-04,Музичний редактор,селище Сімферополь,"проспект Ярморочна площа, буд. 8, Шостка, 86442",066 602-53-90,kyrylohavryliv@example.org
Цибуленко,Віктор,Дмитрович,Чоловік,1946-05-15,Локсмайстер,селище Ічня,"площа Дністровська, буд. 0, Ясинувата, 55401",+380 57 043-35-48,fedirderkach@example.com
Ґерета,Оксана,Олександрівна,Жінка,1982-06-30,Краєзнавець,селище Пологи ,"набережна Бодаревського, буд. 62 кв. 359, Жашків, 32213",+380 95 558 54 12,suprunenkoviacheslav@example.com
Атаманчук,Петро,Григорович,Чоловік,2006-08-02,Електротехнік,хутір Маріуполь,"сквер Кришталевий, буд. 0 кв. 23, Славутич, 73817",+380 43 928 19 27,iaroslav43@example.org
Деряжна,Марина,Петрівна,Жінка,1972-07-25,Флорист,місто Кипуче,"вулиця Дунаєвського 2-й, буд. 297 кв. 6, Вільнянськ, 67920",+380 37 149-73-56,solomon52@example.org
Шелест,Болеслав,Богданович,Чоловік,1939-05-16,Програміст,село Коростишів,"узвіз Церковна, буд. 0, Чистякове, 35907",+380 68 175-50-83,pelekhmilena@example.com
Примаченко,Семен,Олексійович,Чоловік,1999-12-28,Петрограф,село Львів,"сквер Семафорний, буд. 8 кв. 506, Тернівка , 74319",+380 (79) 868-43-25,demianiukorkhyp@example.net
Устенко,Арсен,Леонідович,Чоловік,1974-07-04,Стропальник,місто Узин,"шосе Сонячна, буд. 222 кв. 973, Глухів, 19663",+380 88 017-63-04,derehusvenedykt@example.org
Журавель,Теодор,Євгенович,Чоловік,1998-02-03,Піаніст,місто Приморськ (Україна),"парк Шишкіна, буд. 654 кв. 7, Благовіщенське, 86072",+380 99 765 99 94,priska21@example.org
Терещенко,Анастасія,Ігорівна,Жінка,1958-05-19,Намотувальник,село Первомайський ,"проспект Овідіопольський, буд. 8, Немирів, 72323",+380 (90) 475-07-00,vernyhoravioletta@example.net
Рак,Дарина,Олександрівна,Жінка,2005-08-08,Епідеміолог,хутір Макіївка,"парк Ванний, буд. 62 кв. 763, Єнакієве, 07975",112-03-35,iryna88@example.net
Теліженко,Соломія,Петрівна,Жінка,1971-02-11,Євнух,селище Нова Каховка,"парк Азербайджан, буд. 06, Винники, 27636",325-12-24,hmazur@example.org
Єфименко,Ада,Юріївна,Жінка,1948-09-11,Публіцист,село Червоносів,"шосе Студентський 4-й, буд. 26, Малин, 79515",020 245 74 57,tarastsushko@example.com
Стус,Пилип,Леонідович,Чоловік,1960-08-05,Електротехнік,селище Винники,"шосе Морехідний, буд. 83 кв. 9, Почаїв, 60038",+380 36 444 81 82,lesalekseienko@example.net
Єсипенко,Павло,Михайлович,Чоловік,1960-01-01,Літературознавець,село Молодогвардійськ,"вулиця Квіткова, буд. 957, Вилкове, 49706",+380 51 707 32 93,qshynkarenko@example.com
Устенко,Дарина,Володимирівна,Жінка,2007-10-24,Електромонтажник,селище Сколе,"сквер Віцеадмірала Жукова, буд. 8 кв. 12, Тульчин, 08009",277 78 39,haidamariana@example.net
Ющенко,Тарас,Богданович,Чоловік,1990-05-06,Драматург,селище Гірник ,"сквер Нова, буд. 250 кв. 8, Білопілля, 77089",066 332-12-42,wtereshchenko@example.net
Жаліло,Спас,Петрович,Чоловік,1949-08-19,Геофізик,селище Шпола,"шосе Миколи Бажана, буд. 127 кв. 48, Пирятин, 17900",180-92-42,tsushkoalbina@example.com
Захаренко,Святослав,Олександрович,Чоловік,1998-05-09,Епідеміолог,селище Ужгород,"парк ім. С.Ю. Вітте, буд. 142 кв. 9, Татарбунари, 95847",+380 (69) 316-54-72,babkopanteleimon@example.org
Бакуменко,Захар,Богданович,Чоловік,1955-10-22,Ветеринар,місто Нова Одеса,"провулок Теліги Олени, буд. 314, Сніжне, 46707",937 77 74,darynabezborodko@example.net
Власюк,Демид,Богданович,Чоловік,1987-08-25,Літературознавець,селище Добромиль,"узвіз Рибальський, буд. 6, Батурин, 98814",+380 49 915-63-70,ielysavetaandriienko@example.net
Червоненко,Орест,Володимирович,Чоловік,1996-07-09,Намотувальник,селище Красноперекопськ,"набережна М’ясоєдовська, буд. 6, Переяслав, 84746",+380 43 244 54 80,marianahaidenko@example.com
Ковалюк,Амалія,Михайлівна,Жінка,2003-07-09,Драматург,місто Кіцмань,"шосе Петра Лещенка, буд. 16, Тернівка , 46050",+380 (16) 737-43-23,perebyinisanita@example.com
Євдокименко,Едита,Олегівна,Жінка,1983-11-03,Складальник,село Почаїв,"узвіз Лузанівка, буд. 39 кв. 78, Харків, 84367",+380 79 513 98 78,nestor62@example.com
Андрієвич,Соломія,Іванівна,Жінка,1968-12-30,Адвокат,село Дружківка,"провулок Тіниста, буд. 64 кв. 4, Миронівка, 39117",006 553-52-32,dannakhomyk@example.org
Матвієнко,Гліб,Олегович,Чоловік,2000-04-25,Геофізик,хутір Підгородне,"провулок Гагаріна, буд. 015 кв. 561, Генічеськ, 21730",+380 55 182-30-32,zhaliloaaron@example.org
Негода,Тетяна,Василівна,Жінка,1989-07-19,Професор,селище Гадяч,"набережна Дукова, буд. 4, Вільногірськ, 33970",251 44 30,alekseienkoamvrosii@example.org
Ткач,Валентин,Дмитрович,Чоловік,2007-05-01,Електротехнік,село Бердичів,"парк Чапаєва 2-й, буд. 342 кв. 628, Новий Калинів, 30400",+380 08 298-64-26,olhashovkoplias@example.org
Примаченко,Оксенія,Григорівна,Жінка,2002-12-04,Фотограф,село Енергодар,"узвіз Зої Космодем’янської, буд. 152 кв. 2, Немирів, 42336",098 578-52-09,makarcherinko@example.com
Архимович,Назар,Володимирович,Чоловік,1982-10-10,Професор,село Попасна,"сквер Катерининська, буд. 48, Сарни, 89172",+380 (14) 680-68-66,tsirchenko@example.net
Закусило,Віталій,Олександрович,Чоловік,1985-08-12,Секретар,місто Зимогір'я,"шосе Старокінний, буд. 3 кв. 8, Миронівка, 98005",399 03 89,bohuslavarsenych@example.com
Ребрик,Людмила,Олексіївна,Жінка,1958-08-30,Астроном,село Харцизьк,"узвіз Листяний, буд. 2, Лутугине, 76140",+380 57 149-08-13,paliiihnat@example.com
Бабак,Данна,Олегівна,Жінка,1971-12-28,Водій,село Устилуг,"провулок Шефська, буд. 872 кв. 414, Соледар, 25157",021 192-50-26,viktor88@example.com
Вишиваний,Климент,Олегович,Чоловік,1980-11-06,Бухгалтер,село Стрий,"сквер Перший Кришталевий, буд. 652, Бунге , 74758",063 371 45 57,dsimashkevych@example.net
Демʼяненко,Нестор,Петрович,Чоловік,1996-09-04,Програміст,хутір Прип'ять ,"парк Наявний 5-й, буд. 3, Устилуг, 97849",084 588 95 48,lukian28@example.net
Штокало,Одарка,Юріївна,Жінка,1943-03-15,Електрослюсар,місто Баштанка,"вулиця Ярморочна площа, буд. 7 кв. 040, Дубно, 39688",+380 67 291-83-95,boleslav21@example.org
Худобʼяк,Надія,Степанівна,Жінка,1967-05-10,Петрограф,селище Судак ,"шосе Михайлівська, буд. 7, Ірміно, 53396",+380 (83) 330-01-16,chuprynaroksolana@example.net
Тесля,Оксенія,Григорівна,Жінка,1959-05-21,Намотувальник,селище Ворожба,"проспект Лінія 47-ма, буд. 30, Корсунь-Шевченківський, 03062",+380 (86) 832-51-12,bhydenkoiosyp@example.net
Матяш,Аніта,Олександрівна,Жінка,1990-07-26,Ветеринар,місто Підгайці,"шосе Олександрівський, буд. 3 кв. 3, Білгород-Дністровський, 50168",789-38-94,charnyshviktoriia@example.net
Базавлученко,Анжела,Григорівна,Жінка,2000-06-14,Композитор,хутір Рубіжне,"парк Тролейбусна, буд. 2 кв. 8, Болехів, 39792",+380 91 987-28-42,vira27@example.org
Бабʼяк,Варфоломій,Сергійович,Чоловік,1995-07-24,Програміст,хутір Бобринець,"вулиця Мічуріна, буд. 792 кв. 1, Олевськ, 76527",+380 55 118-77-79,pylypovsiienko@example.com
Голобородько,Анастасія,Олександрівна,Жінка,2000-01-18,Програміст,хутір Звенигородка,"проспект Берегова, буд. 4 кв. 632, Пирятин, 54450",+380 (68) 188-05-18,symonatamaniuk@example.com
Рубець,Богдан,Олегович,Чоловік,1948-04-04,Програміст,селище Карлівка,"шосе Поїзна, буд. 33 кв. 978, Угнів, 02641",+380 02 013-23-89,zoriankonoplenko@example.com
Бабиченко,Єлисавета,Василівна,Жінка,2001-03-01,Електрослюсар,місто Новодністровськ,"вулиця Михайла Жванецького, буд. 3 кв. 686, Ровеньки, 67356",+380 (62) 249-30-21,leslazarenko@example.org
Бабій,Пармен,Васильович,Чоловік,1992-04-12,Перекладач,місто Мена ,"сквер Пироговський, буд. 16, Любомль, 66455",+380 79 328 89 92,larysa05@example.com
Шаповал,Гліб,Дмитрович,Чоловік,1976-07-28,Штукатур,селище Новоселиця,"сквер Дунаєвського 2-й, буд. 856 кв. 64, Олешки, 95591",048 903-20-60,iukhymilienko@example.net
Данченко,Марʼяна,Сергіївна,Жінка,1983-05-22,Композитор,селище Лисичанськ,"сквер Лінія 51-ша, буд. 0 кв. 004, Борзна, 38995",098 63 52,izaichenko@example.com
Закусило,Єва,Євгенівна,Жінка,1988-06-06,Соціолог,село Керч,"узвіз Леваневського тупик, буд. 097, Кролевець, 19113",+380 (34) 177-87-03,mbaida@example.org
Скорик,Симон,Юрійович,Чоловік,1981-11-08,Краєзнавець,місто Євпаторія,"площа Проточний, буд. 55 кв. 764, Алмазна, 11679",+380 71 145-38-06,martatelychenko@example.org
Притула,Амалія,Петрівна,Жінка,1991-12-16,Математик,село Антрацит ,"проспект Місячна, буд. 9, Запоріжжя, 43259",018 751 95 04,zynoviishtepa@example.org
Романенко,Галина,Олександрівна,Жінка,1957-04-04,Машиніст,селище Броди,"проспект Локальна, буд. 5 кв. 1, Сніжне, 90547",561 51 30,kamillakorzh@example.org
Колодуб,Пармен,Сергійович,Чоловік,1943-08-22,Бібліограф,хутір Голубівка,"шосе Кримський, буд. 9, Лутугине, 97625",+380 66 494-54-58,andriievychdmytro@example.net
Кащенко,Юхим,Михайлович,Чоловік,1998-02-04,Економіст,хутір Тальне,"узвіз Михайлівська, буд. 52, Славутич, 54644",536-14-84,stefankhudiak@example.com
Дробаха,Богданна,Ігорівна,Жінка,1967-07-23,Краєзнавець,хутір Нова Одеса,"сквер Локомотивний 1-й, буд. 336, Харків, 82182",015 800 18 68,svoblyi@example.com
Ващенко-Захарченко,Марія,Олегівна,Жінка,1961-12-13,Машиніст,хутір Фастів,"площа Яхненка Семена, буд. 0, Галич, 13831",+380 91 105 86 65,milenapanchuk@example.org
Цюцюра,Юстина,Дмитрівна,Жінка,1958-08-28,Співак,селище Івано-Франківськ,"вулиця Прохоровська, буд. 2, Арциз, 72912",+380 (30) 673-38-24,vladyslav32@example.org
Гриценко,Гліб,Ігорович,Чоловік,1958-09-18,Стоматолог,селище Генічеськ,"вулиця Окружна, буд. 361, Дергачі, 08151",890 47 37,mvlasiuk@example.net
Атаманчук,Феофан,Іванович,Чоловік,2004-10-22,Флорист,хутір Ніжин,"парк Восьмого березня 8-й, буд. 0 кв. 8, Гадяч, 16403",922-74-92,volodymyr23@example.org
Кабаненко,Амалія,Петрівна,Жінка,1969-04-24,Акушер,село Фастів,"вулиця Академіка Вільямса, буд. 336 кв. 1, Запоріжжя, 59160",+380 66 721-44-43,wvakarchuk@example.org
Баранець,Оксенія,Дмитрівна,Жінка,2003-01-04,Стропальник,місто Бобринець,"проспект Наклонна, буд. 24, Полтава, 50272",+380 47 831 83 14,samoilenkoavhustyn@example.net
Верхола,Феофан,Леонідович,Чоловік,1991-07-07,Гірник,місто Зборів,"вулиця Лінія 49-та, буд. 29 кв. 7, Кролевець, 55305",070 672 00 52,ielysaveta88@example.com
